   Date      Time   Shock Type   V_sh                Shock Normal          theta_1   theta_2     B_1           B_2       V_1       V_2      den_1     den_2          T_1       T_2       M_A1      M_A2     M_ms1         M_ms2      C_s1      C_s2      V_A1      V_A2         V_fms1    V_fms2    V_sms1    V_sms2  
2001-01-23 10:54:00     FF      552.5            ['-0.92', '-0.23', '-0.31']     8.9       51.9      4.0               7.8      409.2     528.3      2.4       9.4             84452.2   349034.3    3.3       1.0       2.3               0.4       78.6     116.0      55.2      45.1              79.5     121.6      53.9      26.6   
2001-03-03 11:24:00     FF      567.5             ['-0.95', '0.18', '0.25']      77.5      82.1      4.6               8.4      444.6     497.1      3.6       6.0             51590.5   127478.2    2.6       1.3       1.5               0.8       72.6      85.8      53.0      64.5              89.4     107.1      9.3       7.1    
2001-03-27 01:53:00     FF      190.8            ['-0.21', '-0.29', '-0.93']     77.6      79.8      4.6               9.6      371.0     395.0      6.8       16.6            65975.3   126002.4    3.6       1.9       1.6               0.6       75.3      85.6      36.9      28.6              83.5      90.1      7.1       4.8    
2001-04-07 17:34:00     FF      512.0             ['-0.77', '-0.55', '0.32']     42.3      76.7      2.9               9.8      448.2     509.6      3.4       7.4             84207.0   180516.3    5.2       1.1       2.0               0.7       78.6      93.9      31.2      68.4              81.6     115.5      22.2      12.8   
2001-04-08 11:03:00     FF      716.1            ['-0.93', '-0.37', '-0.06']     62.4      80.0      5.6               14.9     488.0     612.9      4.3       10.3            97502.8   359904.4    4.5       1.1       2.7               0.7       80.9     117.3      58.2     100.0              97.1     153.6      22.5      13.3   
2001-04-18 01:13:00     FF      589.3             ['-0.93', '-0.15', '0.33']     84.1      85.9      12.2              17.2     438.4     496.1      13.5      23.4            128559.7  299504.2    2.6       1.3       1.7               0.8       86.0     110.0      70.7      78.8             111.2     135.3      5.7       4.5    
2001-05-27 14:55:00     FF      621.6             ['-0.99', '0.14', '-0.05']     43.7      67.1      4.9               9.4      424.5     504.2      2.0       3.5             123633.2  272518.5    2.7       1.1       1.9               0.8       85.2     106.6      75.7     105.9             104.9     147.3      44.5      29.8   
2001-08-03 07:28:00     FF      338.5             ['-0.66', '0.24', '0.71']      7.7       19.2      6.1               11.0     379.3     431.1      6.7       18.8            21446.7   139787.7    2.0       1.1       1.5               0.4       66.7      87.8      50.3      31.4              67.4      88.5      49.3      29.4   
2001-08-12 11:31:00     FF      319.5             ['-0.58', '-0.25', '0.77']     21.8      54.8      5.2               9.8      355.1     392.5      18.4      31.7            87552.4   122661.9    3.5       1.6       1.1               0.6       79.2      85.0      25.3      31.1              79.8      88.9      23.3      17.1   
2001-09-29 09:39:00     FF      550.5             ['-0.74', '-0.61', '0.27']     39.7      41.2      4.5               10.3     535.0     649.5      2.7       6.0             313421.3  428487.9    2.5       1.6       1.2               0.5      111.7     125.1      57.8      39.9             118.6     128.0      41.9      29.3   
2001-10-25 08:36:00     FF      435.0             ['-0.79', '-0.31', '0.53']     51.7      79.5      2.5               7.5      368.5     449.9      4.8       13.6             5858.0   80326.3     5.8       1.0       1.9               0.5       63.4      77.9      21.6      43.5              65.7      88.9      13.0      6.9    
2001-11-24 05:56:00     FF      981.4             ['-0.93', '0.34', '0.13']      26.5      74.4      9.4               28.0     527.7     855.3      7.2       22.4            555178.8 1789277.9    8.7       1.5       3.6               0.6      138.4     230.5      59.1     111.3             141.2     254.5      51.9      27.1   
2001-10-21 15:29:00     SF      331.8             ['-0.89', '-0.45', '0.10']     88.3      87.2      7.9               5.0      357.6     378.8      5.4       9.0             85734.9   188305.2    0.2       0.2       7.8               0.1       78.8      95.1      73.5      36.1             107.8     101.7      1.6       1.6    
