   Date      Time   Shock Type   V_sh                Shock Normal          theta_1   theta_2     B_1           B_2       V_1       V_2      den_1     den_2          T_1       T_2       M_A1      M_A2     M_ms1         M_ms2      C_s1      C_s2      V_A1      V_A2         V_fms1    V_fms2    V_sms1    V_sms2  
2023-01-17 22:03:00     FF      412.4            ['-0.84', '-0.43', '-0.32']     71.0      75.6      2.7               4.5      384.3     418.8      9.4       17.8            70815.3   122661.0    4.7       2.6       1.1               0.5       76.2      85.0      18.3      17.5              78.1      86.7      5.8       4.3    
2023-02-01 16:35:00     FF      383.9            ['-0.85', '-0.52', '-0.11']     80.6      85.2      3.3               6.2      347.5     371.1      12.0      21.1            11876.6   21495.2     3.4       1.3       1.0               0.5       64.7      66.7      20.7      30.4              67.8      73.2      3.2       2.3    
2023-02-20 10:41:00     FF      353.8            ['-0.53', '-0.45', '-0.72']     59.7      71.8      5.8               9.3      351.8     392.8      6.8       11.4            52316.1   75899.5     3.3       1.6       1.8               0.9       72.8      77.1      46.4      57.7              83.9      95.2      20.3      14.6   
2023-08-07 11:53:00     FF      518.0             ['-0.90', '0.20', '-0.38']     54.9      67.7      6.8               10.4     334.6     389.7      1.7       2.4             48290.2   58438.6     1.9       1.1       1.7               1.0       72.0      73.9     114.2     144.6             130.0     160.4      36.3      25.3   
2023-09-05 15:25:00     FF      472.7             ['-0.90', '0.31', '0.30']      89.1      89.5      5.0               8.8      368.9     408.1      4.5       7.4             50653.6   76052.4     2.5       1.2       1.5               0.8       72.5      77.1      51.6      65.8              88.9     101.4      0.6       0.5    
2023-10-18 03:45:00     FF      348.1            ['-0.86', '-0.51', '-0.06']     83.3      86.7      1.9               3.7      295.8     323.0      10.8      18.5            10528.0   20813.8     7.6       2.8       1.4               0.8       64.4      66.5      11.9      18.9              65.5      69.2      1.4       1.0    
2023-11-05 12:44:00     FF      621.6            ['-0.92', '-0.34', '-0.21']     86.4      87.6      28.3              40.9     409.0     482.5      22.4      33.6            38258.4   115987.6    1.9       1.1       1.7               0.9       70.1      84.0     126.0     152.0             144.1     173.7      3.9       3.1    
2023-11-12 06:01:00     FF      546.7             ['-0.91', '0.41', '0.02']      61.6      81.1      2.0               5.6      468.8     528.2      3.4       7.3             18854.5   87865.7     5.9       1.3       1.8               0.6       66.1      79.2      21.2      44.3              68.8      90.6      9.7       6.0    
